date,spot,realized_vol,implied_atm_vol,true_regime,macro_mean,macro_var,macro_std,macro_skew,macro_n_train,macro_nonzero,mkt_mean,mkt_var,mkt_std,mkt_skew,mkt_atm_iv,mkt_forward_error,mkt_density_mass,tda_l1,tda_n_loops,tda_z,hurst,hurst_drop,rv_forecast,gap_mean_raw,gap_var_raw,gap_skew_raw,gap_mean_adj,gap_var_adj,gap_skew_adj,divergence_score,base_conviction,conviction,regime_flag,tda_flag,rough_flag,decision,baseline_ready,reason,failed_modules
2025-01-16,100.821969,0.416235,0.512345,crash,0.018967,0.008175,0.090417,0.563621,750.000000,193.000000,0.021134,0.016107,0.126914,-0.559673,0.509999,0.018584,0.964024,0.000017,11.000000,4.297407,0.124642,-0.009321,0.329008,-0.017075,-0.678159,1.123293,0.535362,0.056631,-0.560581,0.451275,0.422947,0.148031,unstable,unstable,stable,no-trade,True,conviction 0.15 below floor 0.30 (regime 'unstable' scaled it by 0.35),
2025-01-17,101.461887,0.324599,0.394911,recovery,0.018335,0.008720,0.093381,0.583431,750.000000,193.000000,0.012980,0.010689,0.103390,-0.982106,0.390336,0.010450,0.978511,0.000017,10.000000,3.671756,0.124767,-0.009446,0.312718,0.051797,-0.203639,1.565538,0.595391,0.507417,-0.118337,0.577640,0.520948,0.182332,unstable,unstable,stable,no-trade,True,conviction 0.18 below floor 0.30 (regime 'unstable' scaled it by 0.35),
2025-01-20,102.453554,0.261275,0.305953,recovery,0.006181,0.007440,0.086254,0.304158,750.000000,193.000000,0.007209,0.007299,0.085433,-1.285638,0.298174,0.004695,0.989761,0.000013,8.000000,2.379987,0.124072,-0.008751,0.292705,-0.012035,0.019134,1.589796,0.513323,0.703913,-0.094078,0.499211,0.461497,0.161524,unstable,unstable,stable,no-trade,True,conviction 0.16 below floor 0.30 (regime 'unstable' scaled it by 0.35),
2025-01-21,102.311829,0.238100,0.276760,recovery,0.003691,0.009393,0.096920,0.322293,750.000000,193.000000,0.005684,0.006221,0.078872,-1.392958,0.267474,0.003173,0.992926,0.000013,8.000000,2.236170,0.123550,-0.008229,0.279806,-0.025269,0.412106,1.715250,0.479585,1.088233,0.031376,0.484292,0.449674,0.157386,unstable,unstable,stable,no-trade,True,conviction 0.16 below floor 0.30 (regime 'unstable' scaled it by 0.35),
2025-01-22,93.544937,0.414428,0.508412,recovery,-0.004399,0.009581,0.097883,0.504326,750.000000,193.000000,0.020736,0.015931,0.126216,-0.570996,0.505957,0.018188,0.964668,0.000013,5.000000,2.051860,0.122988,-0.007668,0.318427,-0.199142,-0.508449,1.075322,0.286745,0.158350,-0.617473,0.194124,0.191722,0.067103,unstable,unstable,stable,no-trade,True,|divergence| 0.19 below threshold 0.35,
2025-01-23,91.714529,0.479372,0.584743,recovery,0.000221,0.010023,0.100116,0.485282,750.000000,194.000000,0.029641,0.019111,0.138241,-0.451468,0.584061,0.027070,0.950526,0.000013,5.000000,1.947081,0.124233,-0.008912,0.340801,-0.212814,-0.645338,0.936750,0.261016,0.009305,-0.756045,0.147610,0.146547,0.102583,elevated,elevated,stable,no-trade,True,|divergence| 0.15 below threshold 0.35,
2025-01-24,95.080426,0.444323,0.547710,recovery,0.002142,0.009372,0.096807,0.486179,750.000000,194.000000,0.024326,0.017904,0.133807,-0.472545,0.547105,0.021769,0.958674,0.000012,6.000000,1.658045,0.123974,-0.008653,0.343465,-0.165789,-0.647355,0.958724,0.308041,0.000207,-0.734071,0.197930,0.195386,0.136770,elevated,elevated,stable,no-trade,True,|divergence| 0.20 below threshold 0.35,
2025-01-27,94.816237,0.335240,0.404166,recovery,0.000004,0.009278,0.096322,0.452380,750.000000,194.000000,0.013514,0.011143,0.105559,-0.945202,0.400872,0.010983,0.977475,0.000012,7.000000,1.690980,0.123079,-0.007758,0.322821,-0.127984,-0.183155,1.397583,0.340875,0.463191,-0.295212,0.296593,0.288192,0.201734,elevated,elevated,stable,no-trade,True,|divergence| 0.30 below threshold 0.35,
2025-01-28,94.959538,0.306452,0.366276,recovery,-0.002560,0.010058,0.100289,0.397092,750.000000,194.000000,0.010980,0.009553,0.097740,-1.080667,0.360539,0.008456,0.982298,0.000012,6.000000,1.617621,0.122806,-0.007485,0.312344,-0.138533,0.051481,1.477760,0.302026,0.695289,-0.215035,0.269771,0.263412,0.184388,elevated,elevated,stable,no-trade,True,|divergence| 0.27 below threshold 0.35,
2025-01-29,95.488716,0.303003,0.366402,recovery,0.004634,0.010154,0.100767,0.288796,750.000000,194.000000,0.011052,0.009503,0.097484,-1.082911,0.359777,0.008528,0.982185,0.000012,6.000000,1.579204,0.123005,-0.007684,0.308098,-0.065834,0.066252,1.371706,0.344957,0.689732,-0.321089,0.296793,0.288375,0.201863,elevated,elevated,stable,no-trade,True,|divergence| 0.30 below threshold 0.35,
2025-01-30,94.242710,0.298486,0.360853,recovery,-0.000916,0.010183,0.100913,0.402664,750.000000,200.000000,0.010550,0.009393,0.096915,-1.091196,0.355681,0.008027,0.983115,0.000013,7.000000,1.681526,0.122922,-0.007601,0.304455,-0.118309,0.080841,1.493860,0.252187,0.677307,-0.190014,0.223685,0.220028,0.154019,elevated,elevated,stable,no-trade,True,|divergence| 0.22 below threshold 0.35,
